pix2pix, tv, bilat, wavelet
3279.57830622, 3725.35321248, 4593.4089163, 5382.74239664, 
3102.29828431, 3114.60740988, 4359.37150671, 5100.80294553, 
1601.41870426, 3828.43416425, 4674.67981421, 5308.46914007, 
583.590518739, 3563.50307333, 4504.03904478, 5108.86988286, 
3729.06829268, 4481.31057318, 5048.74733275, 5766.68654365, 
1001.15155556, 7470.83532874, 7773.4278697, 7783.06839111, 
1200.62470849, 7880.35656158, 8137.26051112, 8309.08555, 
1858.40186982, 4519.25045097, 5055.06133622, 5689.46081302, 
1410.29295557, 3327.67549306, 4460.09993514, 5159.43553343, 
1562.79567862, 7297.31842722, 7713.51437079, 7882.4450542, 
1956.04345546, 3282.85808191, 4379.7954353, 5218.66964091, 
1833.9384745, 6176.10501032, 6583.26531357, 6885.74528019, 
1064.35080989, 3983.13187676, 4811.53217796, 5452.14723598, 
876.105202603, 7663.04196534, 7941.520481, 7948.4493226, 
2596.06881055, 4780.71180174, 5239.50256409, 5843.8063473, 
952.939541952, 3549.4251015, 4550.32012191, 5304.58075527, 
4041.21543272, 3022.83698275, 4143.93814634, 5065.0345767, 
2274.06099973, 3006.2298587, 4204.79831377, 5047.99121747, 
1019.4709067, 3686.44721603, 4539.39877476, 5278.70698525, 
1621.38930481, 3950.15661967, 4818.24475468, 5458.5033767, 
1125.39457014, 3841.37320413, 4745.43793921, 5415.65354214, 
1438.40626172, 5709.01374159, 5990.48751876, 6381.39857042, 
2116.21469106, 3995.80323455, 4687.63657694, 5225.90445693, 
817.033238636, 3144.24691929, 4230.06320797, 5016.06577592, 
1407.83829365, 7156.23274013, 7467.48800228, 7690.09910796, 
3435.61160714, 3370.56668001, 4493.12511809, 5263.72511744, 
1950.58709273, 7171.8533171, 7571.63465444, 7759.68122412, 
833.722825446, 3584.56434191, 4463.40126885, 5188.28188336, 
715.714779661, 3179.79271362, 4381.37395849, 5208.52189084, 
940.857577384, 3024.79193163, 4192.47115714, 4986.41140565, 
3844.53237045, 3955.89174579, 4718.19763455, 5427.64253832, 
7044.71946478, 3690.69734639, 4535.72978826, 5202.49471399, 
4837.39329016, 5089.50473495, 5689.31967126, 6225.31698309, 
1134.53940492, 3855.08928699, 4856.73770157, 5656.6167571, 
835.942098832, 3314.58441972, 4445.19924618, 5151.87937064, 
1271.33447353, 2976.80934908, 4179.11940241, 4907.33589519, 
1124.36960784, 7052.74070203, 7384.13486212, 7598.11473042, 
1727.15639658, 2636.13625723, 3979.5686989, 4758.97454676, 
1551.97228894, 3183.83574088, 4254.13830288, 4814.88712835, 
888.949833995, 3152.58229465, 4174.92796826, 4905.01923635, 
5022.06188269, 2688.8069673, 3925.29865722, 4772.24009668, 
2893.02910053, 3120.70194511, 4193.22175057, 5012.60804126, 
1725.92830948, 2702.8343418, 4046.79087746, 4827.60402305, 
1683.40696847, 6606.45302398, 6974.83702774, 7188.88395406, 
1478.36828547, 3195.27350964, 4179.09599782, 4973.70304275, 
993.081713945, 3231.50986226, 4231.92617333, 4953.50295495, 
1656.68180825, 3300.03449173, 4181.04777438, 4888.93675241, 
873.376687449, 5380.38855074, 5734.25639694, 6226.49535764, 
1426.20134956, 6980.29242095, 7420.39080396, 7602.07216421, 
1678.84621942, 2098.62775207, 3680.11710941, 4352.49298129, 
965.668866359, 7558.64909818, 7849.68005464, 7887.22725962, 
1057.30045351, 3991.78709141, 4675.78721491, 5313.64619296, 
1473.46735822, 5102.80029673, 5545.79919846, 6067.45580393, 
1062.99746357, 3804.73719675, 4751.92324325, 5450.43726941, 
1159.97178378, 7736.38114529, 8014.47825635, 8161.24668255, 
2635.47241514, 2803.32991084, 4039.60001787, 4855.79613278, 
2585.3282554, 8017.2720122, 8266.81288122, 8412.9426377, 
884.56160945, 7830.8273618, 8103.09659318, 8242.24886575, 
1293.62467011, 3475.66955687, 4411.73721071, 5090.05143237, 
2077.57289238, 9883.27636196, 10062.0647786, 10107.8381746, 
866.060142857, 5637.38086938, 5946.19268201, 6383.56695081, 
1238.42887145, 7682.8135702, 7968.56260609, 8116.96563539, 
1525.29302423, 7292.61580643, 7708.6181452, 7867.04677719, 
809.596710479, 7836.29964703, 8105.09590132, 8245.86746966, 
1243.63515748, 7649.84110056, 7925.79276218, 7964.77316045, 
2168.49873959, 2651.63158344, 3875.04765232, 4741.4807383, 
784.150083084, 2373.48561035, 3794.48511506, 4629.99069712, 
854.844540626, 2888.68746075, 4127.61750828, 4849.45599863, 
1047.69263428, 2929.93476353, 4045.56841293, 4813.9917014, 
1032.26726727, 7633.9386921, 7919.07284714, 7941.7408782, 
3219.1042069, 3542.70234665, 4450.99672461, 5219.08039714, 
3200.49900716, 5207.19114865, 5679.37229873, 6112.43266814, 
1524.65864684, 8169.04658839, 8479.21487002, 8571.31782647, 
2403.95677966, 8406.63930513, 8731.24685935, 8804.27597685, 
1528.7042577, 2801.97379147, 4053.38425874, 4885.27609339, 
2745.97779917, 2569.65119274, 3842.84328663, 4645.39067728, 
3028.03706499, 4288.3919876, 4954.5381489, 5569.05794541, 
1789.91755793, 3366.1354256, 4588.76210354, 5381.28249859, 
3106.70223547, 2690.57180717, 4053.51778547, 4803.21389508, 
2039.16766767, 2341.90455785, 3738.17063395, 4603.80680639, 
1598.37802306, 3460.33428132, 4456.90924232, 4931.04699997, 
1025.77290837, 7551.19763969, 7848.02846516, 7869.40861601, 
3730.19647696, 5024.60073274, 5435.68844313, 5964.58060409, 
1640.25132857, 4956.12776059, 5483.47585039, 5963.3897663, 
3103.01856209, 3337.57996225, 4428.66983358, 5113.86922197, 
1338.80639386, 2467.16057649, 3862.03240887, 4669.18424177, 
2266.70545037, 3489.12890193, 4349.40851239, 5125.24487333, 
2197.70009003, 2709.05539777, 4052.13008349, 4887.13911995, 
896.939849624, 7346.56634426, 7523.53984063, 7736.9074211, 
3338.55340925, 2224.25486784, 3621.51151155, 4470.12204722, 
1155.59376165, 7177.9285613, 7484.54039294, 7701.66014255, 
3919.39687334, 3109.24516355, 4238.63349992, 4869.51014739, 
3833.31047514, 3041.80464299, 4149.76159709, 4919.688533, 
1246.21704486, 6952.92587499, 7294.6961335, 7538.97355178, 
989.465287318, 3482.06167299, 4471.04978557, 4976.11238773, 
1369.86058435, 6983.55459836, 7428.89847173, 7606.01344513, 
1552.23392146, 6326.61728583, 6960.02397843, 7268.37466199, 
2064.2400498, 3032.49007849, 4172.63547024, 4963.72556311, 
5386.48419121, 5287.12551994, 5702.37727247, 6180.71996078, 
861.411661507, 3668.52629325, 4630.49686148, 5299.44829068, 
2384.86114551, 3804.34997994, 4722.33519581, 5411.12618998, 
2764.69519421, 3721.28585151, 4546.21952628, 5199.73449242, 
1726.54626942, 3012.01531567, 4255.05478737, 4930.79050667, 
1109.27495108, 7011.59467317, 7337.7780178, 7547.85475004, 
2211.06998637, 3175.30647468, 4230.58142313, 5007.89643197, 
3127.22916239, 10059.4242447, 10317.9835616, 10377.5455998, 
1894.43532182, 5327.040692, 5667.74737682, 6199.32879131, 
1268.03648753, 7563.68149576, 7849.2177134, 7866.01232335, 
1454.17961131, 4074.32004656, 5044.96239734, 5656.87915321, 
878.283464567, 7777.62920224, 8048.33523625, 8077.32543795, 
960.054261553, 4675.02090647, 5196.01604464, 5787.1649254, 
1737.93902524, 6945.6235123, 7388.7102664, 7584.99644937, 
1596.86293141, 6180.2701551, 6589.39868942, 6892.2904735, 
5620.50866463, 4113.66796628, 4759.21812231, 5403.19206377, 
2296.91333333, 7171.8533171, 7571.63465444, 7759.68122412, 
1437.46629779, 7102.705959, 7410.73019551, 7626.39755086, 
3022.79885612, 4075.56732877, 4873.39515963, 5481.01856924, 
906.029667377, 7541.81477131, 7853.19215063, 7880.65155069, 
1347.90699219, 2378.85419058, 3771.64058305, 4577.12444131, 
4123.94747326, 7980.21013155, 8331.90731745, 8526.98645106, 
